,EventTime,Origin,Destination
553,2017.038336,SudesteBR,CentroOesteBR
554,2016.038236,SudesteBR,NordesteBR
555,2017.038346,SudesteBR,NordesteBR
556,2016.038236,SudesteBR,NorteBR
557,1970.441816,SudesteBR,NordesteBR
558,2017.038356,NordesteBR,SudesteBR
559,1993.9904660000002,NordesteBR,SudesteBR
560,2011.317336,SudesteBR,NorteBR
561,2014.038346,NordesteBR,SudesteBR
562,2016.038246,NordesteBR,NorteBR
563,2017.038346,NordesteBR,OtherLocations
564,2014.038356,NordesteBR,SudesteBR
565,2017.038356,NordesteBR,CentroOesteBR
566,2016.038246,NordesteBR,SudesteBR
567,2014.038356,NordesteBR,SudesteBR
568,2017.038336,SudesteBR,SulBR
569,2017.038346,SudesteBR,SulBR
570,2004.038246,SudesteBR,SulBR
571,1984.9516660000002,SudesteBR,NordesteBR
572,2015.038346,SudesteBR,CentroOesteBR
573,2012.5000060000002,SudesteBR,OtherLocations
574,2017.038346,SudesteBR,NordesteBR
575,2017.038356,SudesteBR,SulBR
576,2016.038236,SudesteBR,CentroOesteBR
577,1999.708726,SudesteBR,NorteBR
578,2017.038346,SudesteBR,CentroOesteBR
579,2005.038346,SudesteBR,SulBR
580,2017.038346,SudesteBR,SulBR
581,2010.3288860000002,SudesteBR,NorteBR
582,2016.038236,NorteBR,CentroOesteBR
583,1983.848596,SudesteBR,CentroOesteBR
584,2016.038236,CentroOesteBR,NorteBR
585,1990.532656,CentroOesteBR,SudesteBR
586,2013.0108260000002,CentroOesteBR,Bahia
587,2017.038346,SudesteBR,CentroOesteBR
588,2007.2999060000002,SudesteBR,CentroOesteBR
589,2016.0382260000001,SudesteBR,SulBR
590,2017.038346,SudesteBR,NordesteBR
591,1990.6458960000002,SudesteBR,SulBR
592,2014.038346,SulBR,SudesteBR
593,2015.038346,SudesteBR,CentroOesteBR
594,2017.038346,SudesteBR,NordesteBR
595,1964.0784460000002,SudesteBR,SulBR
596,2012.038236,SulBR,OtherLocations
597,2017.038346,SulBR,Europa
598,2017.038346,SulBR,SudesteBR
599,1997.038346,SulBR,Europa
600,1999.038336,SulBR,SudesteBR
601,1982.929476,SulBR,NorteBR
602,2006.038346,NorteBR,SulBR
603,2017.038346,NorteBR,SulBR
604,2018.038346,NorteBR,CentroOesteBR
605,2017.038346,NorteBR,SudesteBR
606,2015.038336,SulBR,SudesteBR
607,2007.038346,SulBR,SudesteBR
608,2016.0382260000001,SudesteBR,NordesteBR
609,1998.038336,SudesteBR,Europa
610,2008.0382160000001,SudesteBR,NorteBR
611,2016.0382160000001,SudesteBR,NordesteBR
612,2013.038336,SudesteBR,CentroOesteBR
613,2017.038346,SudesteBR,CentroOesteBR
614,2017.038346,SudesteBR,CentroOesteBR
615,2016.038246,SudesteBR,CentroOesteBR
616,2005.038356,SudesteBR,SulBR
617,1984.143076,SudesteBR,NordesteBR
618,2016.038236,NordesteBR,SudesteBR
619,2015.038336,SudesteBR,CentroOesteBR
620,2010.9162660000002,SudesteBR,NorteBR
621,2016.0382260000001,SudesteBR,Bahia
622,2004.038236,SudesteBR,Europa
623,2016.038246,SudesteBR,OtherLocations
624,2011.038356,SudesteBR,Europa
625,2018.038346,SudesteBR,NorteBR
626,2017.038356,SudesteBR,Bahia
627,2015.038356,SudesteBR,CentroOesteBR
628,2016.038246,SudesteBR,Bahia
629,2017.0383660000002,SudesteBR,CentroOesteBR
630,1998.483786,SudesteBR,NorteBR
631,2015.0383660000002,SudesteBR,CentroOesteBR
632,2005.038356,SudesteBR,Europa
633,2010.0383660000002,SudesteBR,OtherLocations
634,2018.0383660000002,SudesteBR,NorteBR
635,1991.0284060000001,SudesteBR,SulBR
636,2016.038236,SudesteBR,NordesteBR
637,2012.038256,SudesteBR,SulBR
638,1987.311386,SudesteBR,OtherLocations
639,2006.038346,SudesteBR,Bahia
640,2016.038236,SudesteBR,NordesteBR
641,2011.038346,SudesteBR,CentroOesteBR
642,2016.038246,SudesteBR,NordesteBR
643,2017.038346,SudesteBR,SulBR
644,2015.038346,SudesteBR,CentroOesteBR
645,2016.038236,SudesteBR,NordesteBR
646,2017.038346,SudesteBR,NordesteBR
647,2000.038236,SudesteBR,Europa
648,1978.956116,SudesteBR,NordesteBR
649,2014.038336,SudesteBR,CentroOesteBR
650,2017.038336,SudesteBR,SulBR
651,2017.038336,SudesteBR,CentroOesteBR
652,2016.0382260000001,SudesteBR,NordesteBR
653,2017.038336,SudesteBR,NordesteBR
654,2003.038336,SudesteBR,OtherLocations
655,2004.038236,SudesteBR,Europa
656,2016.038236,SudesteBR,NorteBR
657,2005.038356,SudesteBR,OtherLocations
658,2015.038356,SudesteBR,SulBR
659,2005.038346,SudesteBR,SulBR
660,2004.038246,SudesteBR,SulBR
661,2014.038336,SudesteBR,NordesteBR
662,2014.038336,NordesteBR,Bahia
663,2016.0382260000001,SudesteBR,NordesteBR
664,2005.038336,SudesteBR,SulBR
665,2016.038236,SudesteBR,NordesteBR
666,2012.038236,SudesteBR,OtherLocations
667,2003.038346,SudesteBR,Europa
668,2003.038336,SudesteBR,Europa
669,2016.0382260000001,SudesteBR,NorteBR
670,2014.038326,SudesteBR,Europa
671,2017.038336,SudesteBR,NordesteBR
672,2015.038336,SudesteBR,NordesteBR
673,2016.0382260000001,SudesteBR,SulBR
674,2005.038346,SudesteBR,OtherLocations
675,2017.038346,SudesteBR,NordesteBR
676,2016.038236,SudesteBR,SulBR
677,2015.038346,SudesteBR,Bahia
678,2016.038236,SudesteBR,NordesteBR
679,2017.038346,SudesteBR,NordesteBR
680,2003.038336,SudesteBR,Europa
681,2016.0382260000001,SudesteBR,SulBR
682,2005.038336,SudesteBR,SulBR
683,2015.038336,SudesteBR,NordesteBR
684,2016.038236,SudesteBR,NordesteBR
685,2014.038346,SudesteBR,NorteBR
686,2017.038336,SudesteBR,NorteBR
687,2016.0382260000001,SudesteBR,Bahia
